club_name,player_name,age,position,club_involved_name,fee,fee_cleaned,league_name,year,season,Country
Ajax Amsterdam,Mohamed Daramy,19,Right Winger,FC Copenhagen,£10.80m,10.8,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Steven Berghuis,29,Right Winger,Feyenoord,£4.95m,4.95,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Jay Gorter,21,Goalkeeper,Go Ahead Eagles,£900Th.,0.9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Remko Pasveer,37,Goalkeeper,Vitesse,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Razvan Marin,25,Central Midfield,Cagliari Calcio,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Danilo,22,Centre-Forward,Ajax U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Noa Lang,22,Left Winger,Club Brugge,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Carel Eiting,23,Defensive Midfield,Huddersfield,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lisandro Magall√°n,27,Centre-Back,Crotone,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Vangelis Pavlidis,22,Centre-Forward,Willem II,£2.25m,2.25,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peter Vindahl,23,Goalkeeper,Nordsjaelland,£1.62m,1.62,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Aslak Fonn Witry,25,Right-Back,Djurgarden,£1.58m,1.58,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Sam Beukema,22,Centre-Back,Go Ahead Eagles,£810Th.,0.81,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Bruno Martins Indi,29,Centre-Back,Stoke City,?,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Maxim Gullit,20,Left-Back,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jelle Duin,22,Centre-Forward,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peer Koopmeiners,21,Defensive Midfield,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Beau Reus,19,Goalkeeper,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jasper Schendelaar,20,Goalkeeper,Telstar,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thijs Oosting,21,Attacking Midfield,RKC Waalwijk,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Joris Kramer,25,Centre-Back,SC Cambuur,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thomas Ouwejan,24,Left Midfield,Udinese Calcio,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Rody de Boer,24,Goalkeeper,De Graafschap,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Marco Tol,23,Centre-Back,FC Volendam,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Sam Hendriks,26,Centre-Forward,Go Ahead Eagles,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Tom Boere,28,Centre-Forward,SV Meppen,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Maxim Gullit,20,Left-Back,AZ Alkmaar,?,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Roberts Uldrikis,23,Centre-Forward,FC Sion,?,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Tam√°s Kiss,20,Left Winger,Pusk√°s AFC,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Filip Krastev,19,Attacking Midfield,Lommel SK,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Marcus Holmgren Pedersen,21,Right-Back,Molde,£900Th.,0.9,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Gernot Trauner,29,Centre-Back,LASK,£900Th.,0.9,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Fredrik Aursnes,25,Defensive Midfield,Molde,£405Th.,0.405,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Ofir Marciano,31,Goalkeeper,Hibernian FC,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Alireza Jahanbakhsh,28,Right Winger,Brighton,?,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Guus Til,23,Attacking Midfield,Spartak Moscow,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Reiss Nelson,21,Right Winger,Arsenal,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Cyriel Dessers,26,Centre-Forward,KRC Genk,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Naoufal Bannis,19,Centre-Forward,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Dylan Vente,22,Centre-Forward,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Lennard Hartjes,18,Defensive Midfield,Feyenoord U18,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Ramon Hendriks,20,Centre-Back,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Denzel Hall,20,Right-Back,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Thijs Jansen,19,Goalkeeper,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Achraf El Bouchataoui,21,Central Midfield,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Marouan Azarkan,19,Left Winger,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
