club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
6996,goverla-uzhgorod,Goverla Uzhgorod,UKR1,,0,0.0,0,,0,Avangard,10640,+-0,Vyacheslav Groznyi,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
6994,metalurg-zaporizhya-bis-2016-,Metalurg Zaporizhya Bis 2016 ,UKR1,,0,0.0,0,,0,ZAZ Stadion,15000,+-0,Anatoliy Chantsev,https://www.transfermarkt.co.uk/metalurg-zaporizhya-bis-2016-/startseite/verein/6994
7185,panthrakikos-komotini,Panthrakikos Komotini,GR1,23.0,5,26.3,3,60.0,1,Stadio Komotinis OPAP,5601,+-0,José Manuel Roca,https://www.transfermarkt.co.uk/panthrakikos-komotini/startseite/verein/7185
3216,mersin-idmanyurdu,Mersin Idmanyurdu,TR1,,0,0.0,0,,0,Mersin Stadyumu,25497,+-0,Mesut Bakkal,https://www.transfermarkt.co.uk/mersin-idmanyurdu/startseite/verein/3216
28956,ael-kalloni,Ael Kalloni,GR1,,0,0.0,0,,0,Stadio Mytilinis,4000,+-0,Thalis Theodoridis,https://www.transfermarkt.co.uk/ael-kalloni/startseite/verein/28956
4102,carpi-fc-1909,Carpi Fc 1909,IT1,,0,0.0,0,,0,Sandro Cabassi,5510,+£540Th.,Fabrizio Castori,https://www.transfermarkt.co.uk/carpi-fc-1909/startseite/verein/4102
825,eskisehirspor,Eskisehirspor,TR1,1.55,23,23.2,2,8.7,0,Eskişehir Yeni Stadyum,34930,+£15Th.,Ilhan Mayakan,https://www.transfermarkt.co.uk/eskisehirspor/startseite/verein/825
6414,metalist-kharkiv,Metalist Kharkiv,UKR1,,0,0.0,0,,0,OSK Metalist,38685,+-0,Oleksandr Sevidov,https://www.transfermarkt.co.uk/metalist-kharkiv/startseite/verein/6414
3558,gfc-ajaccio,Gfc Ajaccio,FR1,450.0,9,26.6,0,,0,Stade Ange-Casanova,4050,+-0,Thierry Laurey,https://www.transfermarkt.co.uk/gfc-ajaccio/startseite/verein/3558
11126,mordovia-saransk,Mordovia Saransk,RU1,,0,0.0,0,,0,Mordovia Arena,44442,+-0,Andrey Gordeev,https://www.transfermarkt.co.uk/mordovia-saransk/startseite/verein/11126
2439,kuban-krasnodar,Kuban Krasnodar,RU1,,0,0.0,0,,0,Kuban Stadium,31654,+-0,Dmitri Khokhlov,https://www.transfermarkt.co.uk/kuban-krasnodar/startseite/verein/2439
2990,academica-coimbra,Academica Coimbra,PO1,3.49,29,25.7,12,41.4,3,Estádio Cidade de Coimbra,29744,+-0,José Viterbo,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990
976,cf-uniao-madeira,Cf Uniao Madeira,PO1,,5,21.2,2,40.0,0,Centro Desportivo da Madeira,2500,+-0,Luís Norton de Matos,https://www.transfermarkt.co.uk/cf-uniao-madeira/startseite/verein/976
641,fc-middlesbrough,Fc Middlesbrough,GB1,36.36,24,25.9,5,20.8,1,Riverside Stadium,33746,£-783Th.,Aitor Karanka,https://www.transfermarkt.co.uk/fc-middlesbrough/startseite/verein/641
3008,hull-city,Hull City,GB1,9.5,25,24.5,8,32.0,1,KCOM Stadium,24983,+-0,Steve Bruce,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
289,afc-sunderland,Afc Sunderland,GB1,8.01,20,26.1,11,55.0,2,Stadium of Light,48707,+-0,Sam Allardyce,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289
3691,tom-tomsk,Tom Tomsk,RU1,4.37,24,24.7,1,4.2,0,Trud,10028,£-31Th.,Valeri Petrakov,https://www.transfermarkt.co.uk/tom-tomsk/startseite/verein/3691
4482,volyn-lutsk,Volyn Lutsk,UKR1,788.0,21,21.3,0,,0,Stadion Avangard,12080,+-0,Vitaliy Kvartsyanyi,https://www.transfermarkt.co.uk/volyn-lutsk/startseite/verein/4482
339,dnipro-dnipropetrovsk,Dnipro Dnipropetrovsk,UKR1,,0,0.0,0,,0,Meteor,24381,+-0,Dmytro Mykhaylenko,https://www.transfermarkt.co.uk/dnipro-dnipropetrovsk/startseite/verein/339
1159,as-nancy-lorraine,As Nancy Lorraine,FR1,9.63,19,24.8,8,42.1,1,Stade Marcel-Picot,20087,+-0,Pablo Correa,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
2448,sporting-gijon,Sporting Gijon,ES1,16.74,21,25.5,5,23.8,2,El Molinón - Enrique Castro Quini,30000,+-0,Abelardo,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
595,sc-bastia,Sc Bastia,FR1,6.44,23,28.5,4,17.4,2,Stade Armand-Cesari,16480,+-0,François Ciccolini,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
968,kvc-westerlo,Kvc Westerlo,BE1,6.35,26,25.0,14,53.8,2,Het Kuipje,8035,+-0,Bob Peeters,https://www.transfermarkt.co.uk/kvc-westerlo/startseite/verein/968
105,sv-darmstadt-98,Sv Darmstadt 98,L1,11.86,27,24.7,5,18.5,0,Merck-Stadion am Böllenfalltor,17400,+£450Th.,Norbert Meier,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
