competition_id,name,type,country_id,country_name,domestic_league_code,confederation,url
L1,bundesliga,first_tier,40,Germany,L1,europa,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/L1
DFB,dfb-pokal,domestic_cup,40,Germany,L1,europa,https://www.transfermarkt.co.uk/dfb-pokal/startseite/wettbewerb/DFB
DFL,dfl-supercup,domestic_super_cup,40,Germany,L1,europa,https://www.transfermarkt.co.uk/dfl-supercup/startseite/wettbewerb/DFL
NL1,eredivisie,first_tier,122,Netherlands,NL1,europa,https://www.transfermarkt.co.uk/eredivisie/startseite/wettbewerb/NL1
NLP,toto-knvb-beker,domestic_cup,122,Netherlands,NL1,europa,https://www.transfermarkt.co.uk/toto-knvb-beker/startseite/wettbewerb/NLP
NLSC,johan-cruijff-schaal,domestic_super_cup,122,Netherlands,NL1,europa,https://www.transfermarkt.co.uk/johan-cruijff-schaal/startseite/wettbewerb/NLSC
BE1,jupiler-pro-league,first_tier,19,Belgium,BE1,europa,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1
BESC,belgian-supercup,domestic_super_cup,19,Belgium,BE1,europa,https://www.transfermarkt.co.uk/belgian-supercup/startseite/wettbewerb/BESC
ES1,laliga,first_tier,157,Spain,ES1,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1
CDR,copa-del-rey,domestic_cup,157,Spain,ES1,europa,https://www.transfermarkt.co.uk/copa-del-rey/startseite/wettbewerb/CDR
SUC,supercopa,domestic_super_cup,157,Spain,ES1,europa,https://www.transfermarkt.co.uk/supercopa/startseite/wettbewerb/SUC
PO1,liga-portugal-bwin,first_tier,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1
POCP,allianz-cup,domestic_cup,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/allianz-cup/startseite/wettbewerb/POCP
POSU,supertaca-candido-de-oliveira,domestic_super_cup,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/supertaca-candido-de-oliveira/startseite/wettbewerb/POSU
FR1,ligue-1,first_tier,50,France,FR1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1
FRCH,trophee-des-champions,domestic_super_cup,50,France,FR1,europa,https://www.transfermarkt.co.uk/trophee-des-champions/startseite/wettbewerb/FRCH
GB1,premier-league,first_tier,189,England,GB1,europa,https://www.transfermarkt.co.uk/premier-league/startseite/wettbewerb/GB1
CGB,efl-cup,domestic_cup,189,England,GB1,europa,https://www.transfermarkt.co.uk/efl-cup/startseite/wettbewerb/CGB
GBCS,community-shield,domestic_super_cup,189,England,GB1,europa,https://www.transfermarkt.co.uk/community-shield/startseite/wettbewerb/GBCS
RU1,premier-liga,first_tier,141,Russia,RU1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/RU1
RUP,russian-cup,domestic_cup,141,Russia,RU1,europa,https://www.transfermarkt.co.uk/russian-cup/startseite/wettbewerb/RUP
RUSS,russian-super-cup,domestic_super_cup,141,Russia,RU1,europa,https://www.transfermarkt.co.uk/russian-super-cup/startseite/wettbewerb/RUSS
UKR1,premier-liga,first_tier,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1
UKRP,ukrainian-cup,domestic_cup,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/ukrainian-cup/startseite/wettbewerb/UKRP
UKRS,ukrainian-super-cup,domestic_super_cup,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/ukrainian-super-cup/startseite/wettbewerb/UKRS
SC1,scottish-premiership,first_tier,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1
SFA,sfa-cup,domestic_cup,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/sfa-cup/startseite/wettbewerb/SFA
IT1,serie-a,first_tier,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1
CIT,italy-cup,domestic_cup,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/italy-cup/startseite/wettbewerb/CIT
SCI,supercoppa-italiana,domestic_super_cup,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/supercoppa-italiana/startseite/wettbewerb/SCI
GR1,super-league-1,first_tier,56,Greece,GR1,europa,https://www.transfermarkt.co.uk/super-league-1/startseite/wettbewerb/GR1
GRP,kypello-elladas,domestic_cup,56,Greece,GR1,europa,https://www.transfermarkt.co.uk/kypello-elladas/startseite/wettbewerb/GRP
TR1,super-lig,first_tier,174,Turkey,TR1,europa,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1
DK1,superligaen,first_tier,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1
