club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,
Ajax Amsterdam,Mohamed Daramy,19,Right Winger,FC Copenhagen,Â£10.80m,in,Summer,10.8,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Steven Berghuis,29,Right Winger,Feyenoord,Â£4.95m,in,Summer,4.95,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Jay Gorter,21,Goalkeeper,Go Ahead Eagles,Â£900Th.,in,Summer,0.9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Remko Pasveer,37,Goalkeeper,Vitesse,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Razvan Marin,25,Central Midfield,Cagliari Calcio,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Danilo,22,Centre-Forward,Ajax U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Noa Lang,22,Left Winger,Club Brugge,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Carel Eiting,23,Defensive Midfield,Huddersfield,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lisandro MagallÃ¡n,27,Centre-Back,Crotone,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Razvan Marin,25,Central Midfield,Cagliari Calcio,Â£9.00m,out,Summer,9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lassina TraorÃ©,20,Centre-Forward,Shakhtar D.,Â£9.00m,out,Summer,9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Noa Lang,22,Left Winger,Club Brugge,Â£5.40m,out,Summer,5.4,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Kjell Scherpen,21,Goalkeeper,Brighton,Â£4.50m,out,Summer,4.5,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Jurgen Ekkelenkamp,21,Central Midfield,Hertha BSC,Â£2.70m,out,Summer,2.7,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Carel Eiting,23,Defensive Midfield,KRC Genk,?,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lisandro MagallÃ¡n,27,Centre-Back,RSC Anderlecht,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Dominik Kotarski,21,Goalkeeper,HNK Gorica,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Oussama Idrissi,25,Left Winger,Sevilla FC,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Vangelis Pavlidis,22,Centre-Forward,Willem II,Â£2.25m,in,Summer,2.25,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peter Vindahl,23,Goalkeeper,Nordsjaelland,Â£1.62m,in,Summer,1.62,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Aslak Fonn Witry,25,Right-Back,Djurgarden,Â£1.58m,in,Summer,1.58,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Sam Beukema,22,Centre-Back,Go Ahead Eagles,Â£810Th.,in,Summer,0.81,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Bruno Martins Indi,29,Centre-Back,Stoke City,?,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Maxim Gullit,20,Left-Back,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jelle Duin,22,Centre-Forward,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peer Koopmeiners,21,Defensive Midfield,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Beau Reus,19,Goalkeeper,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jasper Schendelaar,20,Goalkeeper,Telstar,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thijs Oosting,21,Attacking Midfield,RKC Waalwijk,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Joris Kramer,25,Centre-Back,SC Cambuur,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thomas Ouwejan,24,Left Midfield,Udinese Calcio,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Rody de Boer,24,Goalkeeper,De Graafschap,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Myron Boadu,20,Centre-Forward,Monaco,Â£15.30m,out,Summer,15.3,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Calvin Stengs,22,Right Winger,OGC Nice,Â£13.50m,out,Summer,13.5,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Teun Koopmeiners,23,Defensive Midfield,Atalanta BC,Â£10.80m,out,Summer,10.8,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Marco Bizot,30,Goalkeeper,Stade Brest 29,Â£4.50m,out,Summer,4.5,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jonas Svensson,28,Right-Back,Adana Demirspor,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jasper Schendelaar,20,Goalkeeper,PEC Zwolle,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Ramon Leeuwin,34,Centre-Back,Almere City,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Rody de Boer,24,Goalkeeper,Roda JC,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Maxim Gullit,20,Left-Back,SC Cambuur,?,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thomas Ouwejan,24,Left Midfield,FC Schalke 04,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Kenzo Goudmijn,19,Central Midfield,Sparta R.,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Joris Kramer,25,Centre-Back,Go Ahead Eagles,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Bruno Martins Indi,29,Centre-Back,Stoke City,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Marco Tol,23,Centre-Back,FC Volendam,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
