player_id,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,url
257767,4795,aloy-ihenacho,Aloy Ihenacho,Nigeria,Nigeria,21/07/1995,https://www.transfermarkt.co.uk/aloy-ihenacho/profil/spieler/257767
320889,4795,thomas-blomeyer,Thomas Blomeyer,Germany,Germany,24/04/1996,https://www.transfermarkt.co.uk/thomas-blomeyer/profil/spieler/320889
42318,4795,konstantin-engel,Konstantin Engel,USSR,Kazakhstan,27/07/1988,https://www.transfermarkt.co.uk/konstantin-engel/profil/spieler/42318
94598,4795,stefan-wannenwetsch,Stefan Wannenwetsch,Germany,Germany,,https://www.transfermarkt.co.uk/stefan-wannenwetsch/profil/spieler/94598
381921,6994,ivan-komlev,Ivan Komlev,,Ukraine,22/07/1994,https://www.transfermarkt.co.uk/ivan-komlev/profil/spieler/381921
381920,6994,artem-zakharov,Artem Zakharov,,Ukraine,19/06/1996,https://www.transfermarkt.co.uk/artem-zakharov/profil/spieler/381920
242854,6994,dmytro-yusov,Dmytro Yusov,Ukraine,Ukraine,11/05/1993,https://www.transfermarkt.co.uk/dmytro-yusov/profil/spieler/242854
21039,105,milan-ivana,Milan Ivana,CSSR,Slovakia,26/11/1983,https://www.transfermarkt.co.uk/milan-ivana/profil/spieler/21039
6403,1304,bas-sibum,Bas Sibum,Netherlands,Netherlands,26/12/1982,https://www.transfermarkt.co.uk/bas-sibum/profil/spieler/6403
107548,28643,livio-nabab,Livio Nabab,Guadeloupe,Guadeloupe,14/06/1988,https://www.transfermarkt.co.uk/livio-nabab/profil/spieler/107548
24032,6994,vitaliy-lysytskyi,Vitaliy Lysytskyi,USSR,Ukraine,16/04/1982,https://www.transfermarkt.co.uk/vitaliy-lysytskyi/profil/spieler/24032
272699,1304,rick-hemmink,Rick Hemmink,Netherlands,Netherlands,14/02/1993,https://www.transfermarkt.co.uk/rick-hemmink/profil/spieler/272699
52453,28095,haris-handzic,Haris Handzic,Jugoslawien (SFR),Bosnia-Herzegovina,20/06/1990,https://www.transfermarkt.co.uk/haris-handzic/profil/spieler/52453
72873,28095,semen-fomin,Semen Fomin,UdSSR,Russia,10/01/1989,https://www.transfermarkt.co.uk/semen-fomin/profil/spieler/72873
420467,2293,ataberk-gurgen,Ataberk Gurgen,Turkey,Turkey,30/09/1996,https://www.transfermarkt.co.uk/ataberk-gurgen/profil/spieler/420467
313168,169,stavros-mitkas,Stavros Mitkas,,Greece,01/01/1996,https://www.transfermarkt.co.uk/stavros-mitkas/profil/spieler/313168
203178,169,konstantinos-vlachos,Konstantinos Vlachos,Greece,Greece,06/02/1995,https://www.transfermarkt.co.uk/konstantinos-vlachos/profil/spieler/203178
7345,3216,serkan-balci,Serkan Balci,Turkey,Turkey,22/08/1983,https://www.transfermarkt.co.uk/serkan-balci/profil/spieler/7345
330145,3216,kudbettin-ograk,Kudbettin Ograk,Turkey,Turkey,13/04/1994,https://www.transfermarkt.co.uk/kudbettin-ograk/profil/spieler/330145
255682,169,ilias-polimos,Ilias Polimos,Greece,Greece,01/09/1995,https://www.transfermarkt.co.uk/ilias-polimos/profil/spieler/255682
6873,3216,sinan-kaloglu,Sinan Kaloglu,Turkey,Turkey,10/06/1981,https://www.transfermarkt.co.uk/sinan-kaloglu/profil/spieler/6873
45721,3216,berkan-afsarli,Berkan Afsarli,Germany,Germany,01/03/1991,https://www.transfermarkt.co.uk/berkan-afsarli/profil/spieler/45721
76281,3216,ricardo-pedriel,Ricardo Pedriel,Bolivia,Bolivia,19/01/1987,https://www.transfermarkt.co.uk/ricardo-pedriel/profil/spieler/76281
293827,3216,hakan-olkan,Hakan Olkan,Turkey,Turkey,09/01/1992,https://www.transfermarkt.co.uk/hakan-olkan/profil/spieler/293827
21488,3216,tita,Tita,Brazil,Brazil,20/07/1981,https://www.transfermarkt.co.uk/tita/profil/spieler/21488
347469,3216,hasan-das,Hasan Das,Turkey,Turkey,06/01/1995,https://www.transfermarkt.co.uk/hasan-das/profil/spieler/347469
10139,3216,guven-varol,Guven Varol,Turkey,Turkey,02/06/1981,https://www.transfermarkt.co.uk/guven-varol/profil/spieler/10139
237294,3216,mahmut-metin,Mahmut Metin,Turkey,Turkey,12/07/1994,https://www.transfermarkt.co.uk/mahmut-metin/profil/spieler/237294
7041,3216,servet-cetin,Servet Cetin,Turkey,Turkey,17/03/1981,https://www.transfermarkt.co.uk/servet-cetin/profil/spieler/7041
419376,3216,mehmet-ali-kacar,Mehmet Ali Kacar,Turkey,Turkey,18/01/1998,https://www.transfermarkt.co.uk/mehmet-ali-kacar/profil/spieler/419376
21480,3216,wederson,Wederson,Brazil,Brazil,22/07/1981,https://www.transfermarkt.co.uk/wederson/profil/spieler/21480
85783,3216,oktay-delibalta,Oktay Delibalta,Turkey,Turkey,27/10/1985,https://www.transfermarkt.co.uk/oktay-delibalta/profil/spieler/85783
435418,3216,hilmi-resiti,Hilmi Resiti,Turkey,Turkey,29/07/1997,https://www.transfermarkt.co.uk/hilmi-resiti/profil/spieler/435418
387966,3216,ahmet-taner-cukadar,Ahmet Taner Cukadar,Turkey,Turkey,04/08/1998,https://www.transfermarkt.co.uk/ahmet-taner-cukadar/profil/spieler/387966
291764,3216,mehmet-enes-sigirci,Mehmet Enes Sigirci,Turkey,Turkey,24/02/1993,https://www.transfermarkt.co.uk/mehmet-enes-sigirci/profil/spieler/291764
101277,3216,marko-futacs,Marko Futacs,Hungary,Hungary,22/02/1990,https://www.transfermarkt.co.uk/marko-futacs/profil/spieler/101277
402029,3216,rahmi-celik,Rahmi Celik,Cyprus,Turkey,11/08/1995,https://www.transfermarkt.co.uk/rahmi-celik/profil/spieler/402029
114430,3216,nurullah-kaya,Nurullah Kaya,Turkey,Turkey,20/07/1986,https://www.transfermarkt.co.uk/nurullah-kaya/profil/spieler/114430
67583,3216,serol-demirhan,Serol Demirhan,Turkey,Turkey,05/12/1988,https://www.transfermarkt.co.uk/serol-demirhan/profil/spieler/67583
274848,169,stelios-pozatzidis,Stelios Pozatzidis,Greece,Greece,24/06/1994,https://www.transfermarkt.co.uk/stelios-pozatzidis/profil/spieler/274848
24480,3216,nikolay-mihaylov,Nikolay Mihaylov,Bulgaria,Bulgaria,28/06/1988,https://www.transfermarkt.co.uk/nikolay-mihaylov/profil/spieler/24480
49800,3216,milan-mitrovic,Milan Mitrovic,Jugoslawien (SFR),Serbia,02/07/1988,https://www.transfermarkt.co.uk/milan-mitrovic/profil/spieler/49800
62827,2293,tomas-borek,Tomas Borek,CSSR,Czech Republic,04/04/1986,https://www.transfermarkt.co.uk/tomas-borek/profil/spieler/62827
89005,2293,selcuk-alibaz,Selcuk Alibaz,Germany,Germany,03/12/1989,https://www.transfermarkt.co.uk/selcuk-alibaz/profil/spieler/89005
16833,2293,ciprian-marica,Ciprian Marica,Romania,Romania,02/10/1985,https://www.transfermarkt.co.uk/ciprian-marica/profil/spieler/16833
55683,3216,murat-ceylan,Murat Ceylan,Turkey,Turkey,02/03/1988,https://www.transfermarkt.co.uk/murat-ceylan/profil/spieler/55683
133450,2293,dossa-junior,Dossa Junior,Portugal,Cyprus,28/07/1986,https://www.transfermarkt.co.uk/dossa-junior/profil/spieler/133450
75214,28095,dmitri-verkhovtsov,Dmitri Verkhovtsov,UdSSR,Belarus,10/10/1986,https://www.transfermarkt.co.uk/dmitri-verkhovtsov/profil/spieler/75214
107218,28095,evgeniy-osipov,Evgeniy Osipov,UdSSR,Russia,29/10/1986,https://www.transfermarkt.co.uk/evgeniy-osipov/profil/spieler/107218
37078,2999,christopher-mandiangu,Christopher Mandiangu,Zaire,Germany,08/02/1992,https://www.transfermarkt.co.uk/christopher-mandiangu/profil/spieler/37078
14608,2999,darren-hill,Darren Hill,Scotland,Scotland,03/12/1981,https://www.transfermarkt.co.uk/darren-hill/profil/spieler/14608
33926,2999,christian-nade,Christian Nade,France,France,18/09/1984,https://www.transfermarkt.co.uk/christian-nade/profil/spieler/33926
387968,3216,emrah-ozyaylaz,Emrah Ozyaylaz,Turkey,Turkey,01/12/1994,https://www.transfermarkt.co.uk/emrah-ozyaylaz/profil/spieler/387968
13490,2999,chris-turner,Chris Turner,Northern Ireland,Northern Ireland,03/01/1987,https://www.transfermarkt.co.uk/chris-turner/profil/spieler/13490
435209,2999,marc-kelly,Marc Kelly,Scotland,Scotland,14/04/1998,https://www.transfermarkt.co.uk/marc-kelly/profil/spieler/435209
24862,2999,kemy-agustien,Kemy Agustien,Netherlands Antilles,Curacao,20/08/1986,https://www.transfermarkt.co.uk/kemy-agustien/profil/spieler/24862
186589,2999,andy-ryan,Andy Ryan,Scotland,Scotland,29/09/1994,https://www.transfermarkt.co.uk/andy-ryan/profil/spieler/186589
297238,2999,jamie-boyd,Jamie Boyd,Scotland,Scotland,16/09/1999,https://www.transfermarkt.co.uk/jamie-boyd/profil/spieler/297238
248755,2999,jamie-sendles-white,Jamie Sendles White,England,Northern Ireland,10/04/1994,https://www.transfermarkt.co.uk/jamie-sendles-white/profil/spieler/248755
175589,2999,kieran-macdonald,Kieran Macdonald,Scotland,Scotland,21/07/1993,https://www.transfermarkt.co.uk/kieran-macdonald/profil/spieler/175589
57410,989,yann-kermorgant,Yann Kermorgant,France,France,08/11/1981,https://www.transfermarkt.co.uk/yann-kermorgant/profil/spieler/57410
386148,989,joe-quigley,Joe Quigley,England,Ireland,10/12/1996,https://www.transfermarkt.co.uk/joe-quigley/profil/spieler/386148
10375,989,shaun-macdonald,Shaun Macdonald,Wales,Wales,17/06/1988,https://www.transfermarkt.co.uk/shaun-macdonald/profil/spieler/10375
933,2293,ugur-inceman,Ugur Inceman,Germany,Turkey,25/05/1981,https://www.transfermarkt.co.uk/ugur-inceman/profil/spieler/933
56829,989,stephane-zubar,Stephane Zubar,Guadeloupe,Guadeloupe,09/10/1986,https://www.transfermarkt.co.uk/stephane-zubar/profil/spieler/56829
225166,989,josh-wakefield,Josh Wakefield,England,England,06/11/1993,https://www.transfermarkt.co.uk/josh-wakefield/profil/spieler/225166
252713,2999,oumar-diaby,Oumar Diaby,France,France,07/02/1990,https://www.transfermarkt.co.uk/oumar-diaby/profil/spieler/252713
15838,989,elliott-ward,Elliott Ward,England,England,19/01/1985,https://www.transfermarkt.co.uk/elliott-ward/profil/spieler/15838
416622,989,jordan-green,Jordan Green,England,England,22/02/1995,https://www.transfermarkt.co.uk/jordan-green/profil/spieler/416622
3356,989,sylvain-distin,Sylvain Distin,France,France,16/12/1977,https://www.transfermarkt.co.uk/sylvain-distin/profil/spieler/3356
37152,989,tommy-elphick,Tommy Elphick,England,England,07/09/1987,https://www.transfermarkt.co.uk/tommy-elphick/profil/spieler/37152
114931,47,kerem-bulut,Kerem Bulut,Australia,Australia,03/02/1992,https://www.transfermarkt.co.uk/kerem-bulut/profil/spieler/114931
